,dist_center_segment,radius_segment,center_mass,jx_y,jz_y,jz_x
235,0.002,0.036,0.00029779411764705875,1.0001599528411091,5.789988145587141,5.789062168645909
236,0.002,0.037,0.00031722859460085723,1.0001560173782025,5.793259533355495,5.792355825186034
237,0.002,0.038,0.00033754090696587187,1.0001516190845825,5.7966247738677055,5.795746028160443
238,0.002,0.039,0.00035876872272673656,1.000146710654282,5.800084133803265,5.799233324487895
239,0.002,0.04,0.0003809523809523809,1.000141239985334,5.803637871487193,5.802818281518215
240,0.002,0.041,0.0004041351123933165,1.000135149632443,5.807286234316979,5.806501487775126
241,0.002,0.042,0.00042836328314715873,1.0001283761879605,5.811029455831315,5.810283553777711
242,0.002,0.043,0.00045368666421297983,1.0001208495805156,5.8148677523662915,5.8141651129513425
243,0.002,0.044,0.00048015873015873,1.0001124922788505,5.818801319235486,5.818146822640721
244,0.002,0.045,0.0005078369905956111,1.0001032183862855,5.822830326359485,5.822229365239822
245,0.002,0.046,0.0005367833587011667,1.0000929326086976,5.82695491325735,5.826413449456142
246,0.002,0.047,0.0005670645616737259,1.0000815290758678,5.831175183296929,5.830699811729615
247,0.002,0.048,0.0005987525987525987,1.0000688899924037,5.83549119708223,5.835089217830338
248,0.002,0.049,0.0006319252533228056,1.0000548840900831,5.839902964833635,5.839582464663597
249,0.002,0.05,0.0006666666666666668,1.000039364848175,5.844410437589494,5.844180382316038
250,0.002,0.051,0.000703067982159751,1.0000221684419008,5.849013497024804,5.848883836383291
251,0.002,0.052,0.0007412280701754383,1.0000031113714396,5.853711943642691,5.853693730627201
252,0.002,0.053,0.000781254345709915,0.9999819877143893,5.858505483045602,5.858611010020396
253,0.002,0.054,0.0008232636928289099,0.9999585659330186,5.863393709933383,5.863636664247684
254,0.002,0.055,0.0008673835125448026,0.9999325851533658,5.868376089401952,5.868771731748179
255,0.002,0.056,0.0009137529137529136,0.9999037508156603,5.873451935025541,5.874017304399887
256,0.002,0.057,0.0009625240705080727,0.9998717295737191,5.878620383093025,5.879374532970634
257,0.002,0.058,0.001013863773357444,0.9998361432938268,5.883880362228767,5.884844633486752
258,0.002,0.059,0.001067955207853965,0.9997965619696165,5.889230557453006,5.890428894705459
259,0.002,0.06,0.0011249999999999997,0.9997524953267855,5.894669367516429,5.896128686920315
260,0.002,0.061,0.001185220576524924,0.9997033828374956,5.900194854064802,5.901945472384076
261,0.002,0.062,0.0012488628979857046,0.9996485817957784,5.9058046808354305,5.907880817703143
262,0.002,0.063,0.00131619963521804,0.9995873530176888,5.911496040634623,5.913936408647232
263,0.002,0.064,0.001387533875338753,0.9995188436174252,5.917265567263565,5.920114067932921
264,0.002,0.065,0.001463203463203463,0.9994420661651477,5.923109228807529,5.926415776688746
265,0.002,0.066,0.0015435861091424518,0.9993558733428706,5.929022197723725,5.932843700503802
266,0.002,0.067,0.001629105425512611,0.9992589269666982,5.934998691878983,5.939400221216913
267,0.002,0.068,0.0017202380952380952,0.9991496599162065,5.941031778993069,5.946087975940774
268,0.002,0.069,0.0018175224279442638,0.9990262290762497,5.947113134687897,5.95290990526535
269,0.002,0.07,0.00192156862745098,0.9988864568125985,5.953232741317918,5.959869313189423
270,0.002,0.071,0.0020330711837063913,0.9987277577132875,5.959378510665303,5.966969942149247
271,0.002,0.072,0.0021528239202657797,0.9985470462503043,5.96553580799874,5.9742160676357035
272,0.002,0.073,0.002281738385784627,0.9983406195321965,5.9716868472984475,5.981612618443459
273,0.002,0.074,0.002420866489832005,0.9981040072527143,5.977809916734928,5.989165330764353
274,0.002,0.075,0.00257142857142857,0.9978317780344195,5.983878378407574,5.996880947402705
275,0.002,0.076,0.0027348484848484836,0.9975172872292332,5.989859364873559,6.004767477776119
276,0.002,0.077,0.00291279783836895,0.9971523452749478,5.995712064032441,6.012834540723289
277,0.002,0.078,0.003107252298263533,0.9967267769961575,6.0013854386838865,6.0210938214886776
278,0.002,0.079,0.0033205639797818554,0.996227829329259,6.006815159996865,6.029559688210214
279,0.002,0.08,0.0035555555555555544,0.9956393655215148,6.0119194331312285,6.03825003442104
280,0.002,0.081,0.0038156440825821442,0.9949407541146882,6.016593238610937,6.047187446818965
281,0.002,0.082,0.004105006105006104,0.9941053146678855,6.020700271921052,6.056400849172072
282,0.002,0.083,0.004428801028608164,0.9930981084735554,6.0240614803025485,6.065927856374484
283,0.002,0.084,0.004793478260869563,0.9918727427874969,6.026438472474449,6.075818209842247
284,0.002,0.085,0.005207207207207207,0.9903666579266399,6.0275090399202895,6.086138897829059
285,0.002,0.086,0.005680491551459286,0.9884940265839517,6.026830257271863,6.096981969733745
286,0.002,0.087,0.006227067050596455,0.9861347974625935,6.023781517045392,6.108476784862557
287,0.002,0.088,0.006865248226950346,0.9831173326105771,6.017474209658992,6.120809805763618
288,0.002,0.089,0.007620009620009609,0.9791900553699014,6.006604159814892,6.134257723385295
289,0.002,0.09,0.008526315789473674,0.973973560497819,5.989202240790863,6.14924519894529
290,0.002,0.091,0.009634671320535186,0.9668765655751764,5.962196449251881,6.166450466927062
291,0.002,0.092,0.011020833333333313,0.9569418699709614,5.920608821708144,6.1870098984045985
292,0.002,0.093,0.01280384900074018,0.9425499396960457,5.85600911256465,6.212943066394022
293,0.002,0.094,0.015182130584192415,0.9208171750924169,5.753373479790382,6.248117037144698
294,0.002,0.095,0.01851282051282048,0.8863056910125676,5.584343249470496,6.30069659497573
295,0.002,0.096,0.023510204081632603,0.8281374902063843,5.292129818906359,6.390400001801006
296,0.002,0.097,0.03184094754653124,0.7236925810327015,4.7584881424096,6.575289379945403
297,0.003,0.0,0.0,1.0004214614678135,5.7337481686495755,5.731332632785633
298,0.003,0.001,3.0003000300029993e-07,1.000421466371822,5.733791880990151,5.731376298616026
299,0.003,0.002,1.2004801920768305e-06,1.0004214807217195,5.733923022436346,5.731507302601904
300,0.003,0.003,2.7024321889700726e-06,1.000421503428814,5.73414160625233,5.731725664231835
301,0.003,0.004,4.807692307692307e-06,1.000421532670912,5.734447654514181,5.732031416001642
302,0.003,0.005,7.518796992481203e-06,1.0004215658806832,5.734841198063199,5.732424603436801
303,0.003,0.006,1.0839020473705336e-05,1.0004215997292354,5.735322276439892,5.732905285123952
304,0.003,0.007,1.4772384684956283e-05,1.0004216301047533,5.735890937797867,5.733473532751653
305,0.003,0.008,1.9323671497584538e-05,1.0004216520860139,5.73654723879674,5.734129431160618
306,0.003,0.009,2.4498437342474032e-05,1.000421659910551,5.737291244472894,5.734873078403632
307,0.003,0.01,3.03030303030303e-05,1.000421646937185,5.738123028086715,5.735704585815508
308,0.003,0.011,3.674460977831763e-05,1.0004216056025839,5.739042670944614,5.736624078093373
309,0.003,0.012,4.383116883116882e-05,1.0004215273714723,5.740050262193929,5.737631693387739
310,0.003,0.013,5.157155935306682e-05,1.0004214026800307,5.741145898588443,5.738727583404831
311,0.003,0.014,5.9975520195838425e-05,1.0004212208719685,5.742329684221951,5.739911913520715
312,0.003,0.015,6.905370843989768e-05,1.0004209701266835,5.743601730226897,5.741184862907845
313,0.003,0.016,7.881773399014776e-05,1.0004206373788254,5.74496215443474,5.742546624674754
314,0.003,0.017,8.928019771393264e-05,1.0004202082285052,5.746411080994213,5.743997406019692
315,0.003,0.018,0.0001004547333608929,1.000419666841278,5.7479486399431226,5.7455374283991025
316,0.003,0.019,0.00011235605353252411,1.0004189958369218,5.74957496672881,5.747166927712003
317,0.003,0.02,0.00012499999999999998,1.000418176165903,5.7512902016716945,5.748886154501393
318,0.003,0.021,0.00013840359870279318,1.000417186972272,5.753094489365602,5.750695374173993
319,0.003,0.022,0.00015258511979823451,1.0004160054415827,5.754987978007828,5.752594867239836
320,0.003,0.023,0.0001675641431738992,1.0004146066322281,5.756970818650828,5.754584929573307
321,0.003,0.024,0.00018336162988115447,1.0004129632883911,5.759043164366514,5.756665872697556
322,0.003,0.025,0.0002,1.0004110456325634,5.761205169312803,5.758838024094358
323,0.003,0.026,0.00021750321750321744,1.0004088211353224,5.763456987690796,5.761101727541835
324,0.003,0.027,0.00023589688275266958,1.000406254259738,5.765798772579346,5.763457343482737
325,0.003,0.028,0.0002552083333333333,1.0004033061774473,5.768230674631993,5.765905249426323
326,0.003,0.029,0.00027546675401244675,1.0003999344530035,5.77075284061919,5.768445840387335
327,0.003,0.03,0.00029670329670329664,1.000396092692677,5.773365411796416,5.771079529365976
328,0.003,0.031,0.00031895121141719206,1.0003917301533203,5.776068522075982,5.7738067478733965
329,0.003,0.032,0.0003422459893048128,1.000386791306319,5.778862295977315,5.776627946507767
330,0.003,0.033,0.0003666255190214341,1.0003812153509262,5.781746846326743,5.779543595586758
331,0.003,0.034,0.0003921302578018996,1.0003749356704676,5.784722271673773,5.782554185843088
